Name;ISIN;Symbol;Market;Currency;"Open Price";"High Price";"low Price";"last Price";"last Trade MIC Time";"Time Zone";Volume;Turnover;"Closing Price";"Closing Price DateTime"
DAMARTEX;FR0000185423;ALDAR;"Euronext Growth Paris";EUR;2.28;2.29;2.28;2.28;"15/05/2026 16:12";CET;415;947.07;2.28;15/05/2026
DANONE;FR0000120644;BN;"Euronext Paris";EUR;61.82;62.08;61.24;61.24;"15/05/2026 17:35";CET;2264726;139119511.99;61.24;15/05/2026
"DASSAULT AVIATION";FR0014004L86;AM;"Euronext Paris";EUR;278.00;280.20;273.80;275.40;"15/05/2026 17:35";CET;59242;16333118.20;275.40;15/05/2026
"DASSAULT SYSTEMES";FR0014003TT8;DSY;"Euronext Paris";EUR;19.54;19.955;19.50;19.92;"15/05/2026 17:35";CET;3690823;73325749.585;19.92;15/05/2026
DBT;FR001400LO86;ALDBT;"Euronext Growth Paris";EUR;0.037;0.0382;0.036;0.0364;"15/05/2026 17:35";CET;499332;18525.444;0.0364;15/05/2026
"DBV TECHNOLOGIES";FR0010417345;DBV;"Euronext Paris";EUR;3.39;3.486;3.348;3.352;"15/05/2026 17:35";CET;793394;2695334.90;3.352;15/05/2026
DEEZER;FR001400AYG6;DEEZR;"Euronext Paris";EUR;1.125;1.13;1.105;1.13;"15/05/2026 17:35";CET;14162;15874.605;1.13;15/05/2026
"DEEZER WARRANTS";FR0014004JF6;DEEZW;"Euronext Paris";EUR;0.0005;0.0005;0.0005;0.0005;"30/10/2024 09:00";CET;2;-;0.0005;15/05/2026
DEKUPLE;FR0000062978;DKUPL;"Euronext Paris";EUR;25.90;26.00;25.60;26.00;"15/05/2026 17:35";CET;772;20057.90;26.00;15/05/2026
DELFINGEN;FR0000054132;ALDEL;"Euronext Growth Paris";EUR;29.20;29.20;28.90;29.00;"15/05/2026 16:14";CET;1846;53571.60;29.00;15/05/2026
"DELTA PLUS GROUP";FR0013283108;ALDLT;"Euronext Growth Paris";EUR;37.50;37.70;36.90;37.00;"15/05/2026 17:35";CET;1611;59952.90;37.00;15/05/2026
DERICHEBOURG;FR0000053381;DBG;"Euronext Paris";EUR;10.28;10.44;10.18;10.20;"15/05/2026 17:35";CET;171249;1754788.365;10.20;15/05/2026
