ticker,Company,Country
BSL.F,BASLER AG O.N.,DE
BST.F,BASTEI LUEBBE AG  O.N.,DE
BMW3.F,BAY.MOTOREN WERKE  VZO,DE
BMW.F,BAY.MOTOREN WERKE AG ST,DE
BAYN.F,BAYER AG NA O.N.,DE
BYW.F,BAYWA AG NA O.N.,DE
BYW6.F,BAYWA AG VINK.NA. O.N.,DE
BBZA.F,"BB BIOTECH NAM.   SF 0,20",CH
BC8.F,BECHTLE AG O.N.,DE
BFSA.F,BEFESA S.A. ORD. O.N.,LU
BEI.F,BEIERSDORF AG O.N.,DE
BDT.F,BERTRANDT AG O.N.,DE
ACX.F,BET-AT-HOME.COM AG O.N.,DE
BIKE.F,BIKE24 HOLDING AG,DE
GBF.F,BILFINGER SE O.N.,DE
B8F.F,BIOFRONTERA AG NA O.N.,DE
BVB.F,BORUSSIA DORTMUND,DE
BNN.F,BRAIN BIOTECH AG,DE
BRK.F,BRANICKS Group AG,DE
BNR.F,BRENNTAG SE,DE
BKHT.F,BROCKHAUS TECHNOLOGIES AG,DE
COK.F,CANCOM SE O.N.,DE
AFX.F,CARL ZEISS MEDITEC AG,DE
CEC.F,CECONOMY AG  ST O.N.,DE
CSH.F,CENIT AG O.N.,DE
CWC.F,CEWE STIFTUNG KGAA  O.N.,DE
C3RY.F,CHERRY SE,DE
CBK.F,COMMERZBANK AG,DE
CON.F,CONTINENTAL AG O.N.,DE
1COV.F,COVESTRO AG  O.N.,DE
EVD.F,CTS EVENTIM KGAA,DE
DTG.F,DAIMLER TRUCK HOLDING AG,DE
DAM.F,DATA MODUL AG O.N.,DE
DHER.F,DELIVERY HERO SE NA O.N.,DE
DEX.F,DELTICOM AG  NA O.N.,DE
DMRE.F,DEMIRE DEUTSCHE MITTELSTAND REAL ESTATE AG,DE
DMP.F,DERMAPHARM HOLDING INH O.N.,DE
DBK.F,DEUTSCHE BANK AG NA O.N.,DE
DB1.F,DEUTSCHE BOERSE NA O.N.,DE
DEQ.F,DEUTSCHE EUROSHOP NA O.N.,DE
DHL.F,DEUTSCHE POST AG NA O.N.,DE
DEZ.F,DEUTZ AG O.N.,DE
GIL.F,DMG MORI AG O.N.,DE
DOU.F,DOUGLAS AG,DE
DRW8.F,DRAEGERWERK ST.A.O.N.,DE
DRW3.F,DRAEGERWERK VZO O.N.,DE
DBAN.F,DT.BETEILIG.AG NA O.N.,DE
DKG.F,DT.KONSUM REIT-AG,DE
PBB.F,DT.PFANDBRIEFBK AG,DE
DTE.F,DT.TELEKOM AG NA,DE
DUE.F,DUERR AG O.N.,DE
DWS.F,DWS GROUP GMBH+CO.KGAA ON,DE
EOAN.F,E.ON SE NA O.N.,DE
EUZ.F,ECKERT+ZIEGLER SE O.N.,DE
E4C.F,ECOTEL COMMUNICATION AG,DE
ED4.F,"EDAG ENGINEERING G.SF-,04",CH
EIN3.F,EINHELL GERMANY VZO O.N.,DE
OT8.F,Eleving Group S.A.,LU
ELG.F,ELMOS SEMICONDUCTOR INH O.N.,DE
ZIL2.F,ELRINGKLINGER AG NA O.N.,DE
ELB.F,ELUMEO SE,DE
EVK.F,EVONIK INDUSTRIES AG NA O.N.,DE
EVT.F,EVOTEC SE  INH O.N.,DE
FAA.F,FABASOFT AG,AT
V3V.F,FAMICORD AG,DE
FIE.F,FIELMANN AG O.N.,DE
SIS.F,FIRST SENSOR AG O.N.,DE
FTK.F,FLATEXDEGIRO AG  NA O.N.,DE
FYB.F,FORMYCON AG,DE
FEV.F,FORTEC ELEKTRO. O.N.,DE
FRA.F,FRAPORT AG,DE
FNTN.F,FREENET AG NA O.N.,DE
FME.F,FRESENIUS MEDICAL CARE AG O.N.,DE
FRE.F,FRESENIUS SE+CO.KGAA O.N.,DE
VH2.F,FRIEDRICH VORWERK GROUP SE,DE
FPE.F,FUCHS SE O.N.,DE
FPE3.F,FUCHS SE VZO O.N.,DE
GTY.F,GATEWAY R.EST.AG O.N.,DE
G1A.F,GEA GROUP AG,DE
GXI.F,GERRESHEIMER AG,DE
GSC1.F,GESCO SE NA O.N.,DE
GFT.F,GFT TECHNOLOGIES SE,DE
GFG.F,"GLOBAL FASHION GRP EO-,01",LU
GMM.F,GRAMMER AG O.N.,DE
GYC.F,"GRAND CITY PROPERT.EO-,10",LU
GLJ.F,GRENKE AG NA O.N.,DE
2HRA.F,H+R KGAA  INH. O.N.,DE
